"data_date";"key";"date";"schools_closed";"schools_closed_perc";"schools_limited";"schools_limited_perc";"schools_limited_distance";"schools_limited_distance_perc";"schools_total";"students_infected";"students_infected_perc";"students_quarantine";"students_quarantine_perc";"students_total";"teacher_infected";"teacher_infected_perc";"teacher_quarantine";"teacher_quarantine_perc";"teacher_total";"students_perc";"teacher_perc"
"2022-01-27";"bl_bb";"2022-01-29";"0";"0,00000000000000e+00";"28";"3,03358613217768e+00";"28";"3,03358613217768e+00";"923";"11897";"3,99630500503863e+00";"12700";"4,26603963721868e+00";"297700";"758";"3,03200000000000e+00";"392";"1,56800000000000e+00";"25000";"3,996305005038629066";"3,03200000000000003"
"2022-01-27";"bl_hb";"2022-01-29";"0";"0,00000000000000e+00";"47";"2,61111111111111e+01";"47";"2,61111111111111e+01";"180";"1081";"1,27356267672008e+00";"2815";"3,31644674835061e+00";"84880";"31";"2,94901065449011e-01";"111";"1,05593607305936e+00";"10512";"1,273562676720075393";"0,29490106544901062"
"2022-01-27";"bl_hh";"2022-02-02";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"473";"6302";"2,45008086588704e+00";NA;NA;"257216";"184";"8,33408823262977e-01";NA;NA;"22078";"2,450080865887036552";"0,83340882326297683"
"2022-01-27";"bl_he";"2022-01-29";"1";"5,54016620498615e-02";"87";"4,81994459833795e+00";"87";"4,81994459833795e+00";"1805";"19223";"2,52801157285639e+00";"5911";"7,77354024197791e-01";"760400";"1084";"1,75033505029791e+00";"283";"4,56960165345304e-01";"61931";"2,528011572856391442";"1,75033505029791203"
"2022-01-27";"bl_mv";"2022-01-29";"0";"0,00000000000000e+00";"11";"2,20000000000000e+00";"11";"2,20000000000000e+00";"500";"2073";"1,25560266505148e+00";"3496";"2,11750454270139e+00";"165100";"79";"5,89552238805970e-01";"0";"0,00000000000000e+00";"13400";"1,255602665051483990";"0,58955223880597019"
"2022-01-27";"bl_ni";"2022-01-29";"2";"6,21310966138552e-02";"39";"1,21155638397018e+00";NA;NA;"3219";"10647";"9,67258389810491e-01";NA;NA;"1100740";"579";"6,01714731098987e-01";NA;NA;"96225";"0,967258389810491170";"0,60171473109898677"
"2022-01-27";"bl_nw";"2022-01-28";"4";"9,28074245939675e-02";"387";"8,97911832946636e+00";"0";NA;"4310";"76988";"3,83695101244014e+00";"88571";"4,41422803713352e+00";"2006489";"4101";"2,62484158783395e+00";"2086";"1,33514253894699e+00";"156238";"3,836951012440138253";"2,62484158783394594"
"2022-01-27";"bl_rp";"2022-01-29";"0";"0,00000000000000e+00";"435";"2,73584905660377e+01";"435";"2,73584905660377e+01";"1590";"13201";"2,53518259613760e+00";"61832";"1,18745102859162e+01";"520712";"719";"1,42613456045700e+00";"1385";"2,74714376388448e+00";"50416";"2,535182596137596445";"1,42613456045699771"
"2022-01-27";"bl_sl";"2021-01-29";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"302";"2686";"2,29294360690444e+00";"5568";"4,75320551125984e+00";"117142";"173";"1,78203543469304e+00";"195";"2,00865265760198e+00";"9708";"2,292943606904440657";"1,78203543469303671"
"2022-01-27";"bl_sn";"2022-01-29";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"0";"0,00000000000000e+00";"1377";"7983";"1,91823415768783e+00";"2870";"6,89631972011034e-01";"416164";"497";"1,61201388213162e+00";"53";"1,71904900911420e-01";"30831";"1,918234157687834562";"1,61201388213162078"
